Title,Price,Region,Bedrooms,Floor Area,Lot Area,URL,Image Link,Barangay,Town/City,Longitude,Latitude,price_per_sqm,id,Price_log
Spacious Single Attached House For Sale in Pilar Village Las Piñas,10600000,Metro Manila,4,186,130,https://www.lamudi.com.ph/spacious-single-attached-house-for-sale-in-pilar-v-168473669978.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/6139f14153aa46.webp,Pilar,Las Piñas,121.01301,14.42922,81538.46153846153,10562,16.176364559082295
"4 Car Garage, Spacious Single Attached House For Sale in Pilar Village Las Piñas",17500000,Metro Manila,4,269,280,https://www.lamudi.com.ph/4-car-garage-spacious-single-attached-house-for-sa-168473659328.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/f8f3f54f3677a8.webp,Pilar,Las Piñas,121.01301,14.42922,62500.0,10562,16.67771143889374
Newly Construct 2 Storey Single Attached House For Sale in Pilar Village,12000000,Metro Manila,3,150,140,https://www.lamudi.com.ph/newly-construct-2-storey-single-attached-house-for-168473745963.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/561a916df9934a.webp,Pilar,Las Piñas,121.01301,14.42922,85714.28571428571,10562,16.300417207752275
"2 Storey House and Lot for Sale near Tagaytay, Nasugbu, Batangas",7604556,Batangas,3,90,139,https://www.lamudi.com.ph/2-storey-house-and-lot-for-sale-near-tagaytay-nasu-169108907813.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/2af1da478161b3.webp,Kaylaway,Nasugbu,120.810579,14.0778507,54709.03597122302,10583,15.844258099328199
"For Sale Modern Bungalow House in Bf Resort Village, Las Piñas City",11000000,Metro Manila,4,165,180,https://www.lamudi.com.ph/for-sale-modern-bungalow-house-in-bf-resort-villag-168371617053.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/c5682e39aef161.webp,Talon Dos,Las Piñas,120.985214,14.438526,61111.11111111111,10562,16.213405830762646
5 Bedrooms With Double Height Ceiling House In Bf Resort Village Las Pinas,11500000,Metro Manila,4,200,125,https://www.lamudi.com.ph/5-bedrooms-with-double-height-ceiling-house-in-bf-168389923122.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/3d2fc1607ddf62.webp,Talon Dos,Las Piñas,120.985214,14.438526,92000.0,10562,16.25785759333348
Corner Modern Design Bungalow House in Pilar Village Las Pinas,8500000,Metro Manila,3,100,127,https://www.lamudi.com.ph/corner-modern-design-bungalow-house-in-pilar-villa-168423914396.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/a9681b24b1aab8.webp,Pilar,Las Piñas,121.01301,14.42922,66929.13385826771,10562,15.955576721460545
Newly Built Modern Bungalow House in BF Resort Village Las Piñas City,11500000,Metro Manila,3,120,180,https://www.lamudi.com.ph/newly-built-modern-bungalow-house-in-bf-resort-vil-168067424984.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/16e3fb75333d0a.webp,Talon Uno,Las Piñas,120.985214,14.438526,63888.88888888889,10562,16.25785759333348
"Newly Built Single Attached House For Sale in San Antonio, Las Piñas City",10000000,Metro Manila,4,128,150,https://www.lamudi.com.ph/newly-built-single-attached-house-for-sale-in-san-168363085213.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/e89e71f010f561.webp,Talon Kuatro,Las Piñas,120.9997847,14.4371254,66666.66666666667,10562,16.11809565095832
Spacious Bungalow House and Lot for Sale in BF Almanza Las Piñas City,14900000,Metro Manila,4,250,296,https://www.lamudi.com.ph/spacious-bungalow-house-and-lot-for-sale-in-bf-alm-16873255227.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/177af9dd34474b.webp,Almanza Dos,Las Piñas,121.0078767,14.4023926,50337.83783783784,10562,16.51687177091569
